2026-06-22 11:47:04 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 11:47:04 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 11:47:04 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 11:54:44 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 11:54:45 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 11:54:45 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 11:54:46 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=3, output_channels=[32, 64, 128]
2026-06-22 11:57:48 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 11:57:48 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 11:57:49 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 11:57:49 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=3, output_channels=[32, 64, 128]
2026-06-22 12:00:30 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 12:00:30 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 12:00:31 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
