2026-06-22 11:47:04 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.83M, trainable_params=2.83M
2026-06-22 11:47:04 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.05M, trainable_params=0.05M
2026-06-22 11:54:45 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.83M, trainable_params=2.83M
2026-06-22 11:54:45 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.05M, trainable_params=0.05M
2026-06-22 11:54:46 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=3, attention_heads=4, total_params=0.75M, trainable_params=0.75M
2026-06-22 11:57:48 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.83M, trainable_params=2.83M
2026-06-22 11:57:49 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.05M, trainable_params=0.05M
2026-06-22 11:57:49 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=3, attention_heads=4, total_params=0.75M, trainable_params=0.75M
2026-06-22 12:00:31 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.83M, trainable_params=2.83M
2026-06-22 12:00:31 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.05M, trainable_params=0.05M
2026-06-22 12:00:31 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=3, attention_heads=4, total_params=0.75M, trainable_params=0.75M
2026-06-22 12:03:22 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.27M, trainable_params=2.27M
2026-06-22 12:03:24 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 12:03:27 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=3, attention_heads=4, total_params=0.60M, trainable_params=0.60M
2026-06-22 12:04:23 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.27M, trainable_params=2.27M
2026-06-22 12:04:26 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 12:04:28 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=3, attention_heads=4, total_params=0.60M, trainable_params=0.60M
2026-06-22 12:06:37 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.27M, trainable_params=2.27M
2026-06-22 12:06:38 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
