2026-06-22 11:45:12 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 11:45:12 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 11:45:46 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 11:45:46 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 11:47:03 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 11:47:03 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 11:47:04 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 11:54:44 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 11:54:45 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 11:57:48 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 11:57:49 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 12:00:30 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 12:00:31 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 12:03:22 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 12:03:26 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 12:03:26 | INFO     | postprocessing.refinement | refinement:204 | Exported 2 coordinates to C:\Users\ZhuanZ\AppData\Local\Temp\tmp93cbayqt\coords.star (star)
2026-06-22 12:03:26 | INFO     | postprocessing.refinement | refinement:204 | Exported 2 coordinates to C:\Users\ZhuanZ\AppData\Local\Temp\tmp93cbayqt\coords.csv (csv)
2026-06-22 12:03:26 | INFO     | postprocessing.refinement | refinement:204 | Exported 2 coordinates to C:\Users\ZhuanZ\AppData\Local\Temp\tmp93cbayqt\coords.tsv (tsv)
2026-06-22 12:03:26 | INFO     | postprocessing.refinement | refinement:204 | Exported 2 coordinates to C:\Users\ZhuanZ\AppData\Local\Temp\tmp93cbayqt\coords.coords (coords)
2026-06-22 12:04:19 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 12:04:27 | INFO     | postprocessing.refinement | refinement:29 | ParticleRefiner initialized: radius_range=(16, 128), subpixel=True
2026-06-22 12:04:27 | INFO     | postprocessing.refinement | refinement:204 | Exported 1 coordinates to C:\Users\ZhuanZ\AppData\Local\Temp\tmpapsnt1sm\coords.star (star)
2026-06-22 12:04:27 | INFO     | postprocessing.refinement | refinement:204 | Exported 1 coordinates to C:\Users\ZhuanZ\AppData\Local\Temp\tmpapsnt1sm\coords.csv (csv)
2026-06-22 12:04:27 | INFO     | postprocessing.refinement | refinement:204 | Exported 1 coordinates to C:\Users\ZhuanZ\AppData\Local\Temp\tmpapsnt1sm\coords.tsv (tsv)
